"Number","Path","ArchiveTarget","ArchiveTargetExists","CurrentPathExists","Bucket","ActiveScopes","ActiveHitCount","AgentBoardHitCount","ReadmeHitCount","ProjectMasterPlanHitCount","ManifestHitCount","ReleaseNotesHitCount","NonArchiveDocsHitCount","ScriptsHitCount","TestsHitCount","OtherHitCount","ArchiveAuditHitCount","SourceFiles","ArchiveAuditFiles"
"522","docs/v10_012_human_review_of_third_product_first_real_output.md","docs/archive/phases/v10/v10_012_human_review_of_third_product_first_real_output.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","10","1","0","0","0","0","9","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md[1]; docs/v10_017_third_product_route_closeout_gate.md[1]; docs/v10_product_loop_final_closeout.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md[1]; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md[3]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"523","docs/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","docs/archive/phases/v10/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"524","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md","docs/archive/phases/v10/v10_014_third_product_accepted_candidate_evidence_package_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","6",".agent_board/CHECKPOINT.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[3]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[3]"
"525","docs/v10_015_third_product_route_closeout_or_revision_decision_gate.md","docs/archive/phases/v10/v10_015_third_product_route_closeout_or_revision_decision_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"526","docs/v10_017_third_product_route_closeout_gate.md","docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","4",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[2]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[2]"
"527","docs/v10_018_v10_final_closeout.md","docs/archive/phases/v10/v10_018_v10_final_closeout.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v10_product_loop_final_closeout.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"528","docs/v10_product_loop_final_closeout.md","docs/archive/phases/v10/v10_product_loop_final_closeout.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","4",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[2]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[2]"
"529","docs/v10_project_route_reset_after_v9_delivery_readiness.md","docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"530","docs/v10_third_product_route_closeout_premium_serum_bottle.md","docs/archive/phases/v10/v10_third_product_route_closeout_premium_serum_bottle.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","6","1","0","0","0","0","5","0","0","0","8",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/v10_017_third_product_route_closeout_gate.md[1]; docs/v10_product_loop_final_closeout.md[1]; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md[1]; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[4]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[4]"
"531","docs/v11_001_route_selection_gate.md","docs/archive/phases/v11/v11_001_route_selection_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"532","docs/v11_002_prompt_schema_hardening_route_activation_gate.md","docs/archive/phases/v11/v11_002_prompt_schema_hardening_route_activation_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"533","docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md","docs/archive/phases/v11/v11_003_existing_prompt_artifact_schema_inventory_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"534","docs/v11_004_prompt_package_schema_draft_gate.md","docs/archive/phases/v11/v11_004_prompt_package_schema_draft_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","4","2","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[2]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_004_prompt_package_schema_draft_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"535","docs/v11_005_prompt_package_schema_static_review_gate.md","docs/archive/phases/v11/v11_005_prompt_package_schema_static_review_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","5","2","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[2]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_005_prompt_package_schema_static_review_gate.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"536","docs/v11_006_product_brief_schema_draft_gate.md","docs/archive/phases/v11/v11_006_product_brief_schema_draft_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_006_product_brief_schema_draft_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"537","docs/v11_007_product_brief_schema_static_review_gate.md","docs/archive/phases/v11/v11_007_product_brief_schema_static_review_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","5","2","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[2]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_007_product_brief_schema_static_review_gate.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"538","docs/v11_008_static_review_schema_draft_gate.md","docs/archive/phases/v11/v11_008_static_review_schema_draft_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_008_static_review_schema_draft_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"539","docs/v11_009_static_review_schema_static_review_gate.md","docs/archive/phases/v11/v11_009_static_review_schema_static_review_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","5","2","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[2]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_009_static_review_schema_static_review_gate.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"540","docs/v11_010_A5_authorization_schema_draft_gate.md","docs/archive/phases/v11/v11_010_A5_authorization_schema_draft_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_010_A5_authorization_schema_draft_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"541","docs/v11_011_A5_authorization_schema_static_review_gate.md","docs/archive/phases/v11/v11_011_A5_authorization_schema_static_review_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","5","2","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[2]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_011_A5_authorization_schema_static_review_gate.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
