"Number","CurrentPath","ArchiveTarget","TargetParentDirectory","TargetParentExists","CurrentPathExists","ArchiveTargetExists","SourceRefFiles","SourceRefFileCount","RewriteHitCount","HumanNavigationRisk","ScriptsRefs","TestsRefs","PreflightBlockers"
"629","docs/v7_224a_autopilot_rule_intake_hardening_gate.md","docs/archive/phases/v7/v7_224a_autopilot_rule_intake_hardening_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"630","docs/v7_226_image_workflow_product_return_gate.md","docs/archive/phases/v7/v7_226_image_workflow_product_return_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"637","docs/v7_233_delivery_review_surface_package_gate.md","docs/archive/phases/v7/v7_233_delivery_review_surface_package_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"638","docs/v7_234_product_image_workflow_runbook_gate.md","docs/archive/phases/v7/v7_234_product_image_workflow_runbook_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"639","docs/v7_235_product_image_workflow_static_walkthrough_gate.md","docs/archive/phases/v7/v7_235_product_image_workflow_static_walkthrough_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"640","docs/v7_236_product_image_workflow_A5_readiness_review_gate.md","docs/archive/phases/v7/v7_236_product_image_workflow_A5_readiness_review_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"642","docs/v7_238_product_image_generation_authorization_draft_review_gate.md","docs/archive/phases/v7/v7_238_product_image_generation_authorization_draft_review_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"643","docs/v7_239_product_image_generation_plan_draft_gate.md","docs/archive/phases/v7/v7_239_product_image_generation_plan_draft_gate.md","docs\archive\phases\v7","True","True","False",".agent_board/VALIDATION_LOG.md","1","1","False","","",""
"654","docs/v7_51h_read_only_bridge_adapter_validation_closeout.md","docs/archive/phases/v7/v7_51h_read_only_bridge_adapter_validation_closeout.md","docs\archive\phases\v7","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"656","docs/v8_007_A4_8_mutation_live_run_docs_only.md","docs/archive/phases/v8/v8_007_A4_8_mutation_live_run_docs_only.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md","3","3","False","","",""
"657","docs/v8_008_A4_8_controlled_failure_recovery_drill.md","docs/archive/phases/v8/v8_008_A4_8_controlled_failure_recovery_drill.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/VALIDATION_LOG.md","4","4","False","","",""
"658","docs/v8_010_A4_8_comprehensive_validation_closeout.md","docs/archive/phases/v8/v8_010_A4_8_comprehensive_validation_closeout.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md","3","3","False","","",""
"659","docs/v8_011_route_B_multi_product_expansion_selection_gate.md","docs/archive/phases/v8/v8_011_route_B_multi_product_expansion_selection_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md","3","3","False","","",""
"660","docs/v8_012_second_product_candidate_and_brief_gate.md","docs/archive/phases/v8/v8_012_second_product_candidate_and_brief_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"661","docs/v8_013_second_product_prompt_package_draft_gate.md","docs/archive/phases/v8/v8_013_second_product_prompt_package_draft_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"662","docs/v8_014_second_product_prompt_static_review_gate.md","docs/archive/phases/v8/v8_014_second_product_prompt_static_review_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"663","docs/v8_015_second_product_A5_authorization_decision_gate.md","docs/archive/phases/v8/v8_015_second_product_A5_authorization_decision_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"664","docs/v8_017_second_product_failed_trial_review_or_prompt_fix_decision_gate.md","docs/archive/phases/v8/v8_017_second_product_failed_trial_review_or_prompt_fix_decision_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"665","docs/v8_018_second_product_prompt_or_runner_static_fix_gate.md","docs/archive/phases/v8/v8_018_second_product_prompt_or_runner_static_fix_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"666","docs/v8_019_second_product_second_trial_authorization_decision_gate.md","docs/archive/phases/v8/v8_019_second_product_second_trial_authorization_decision_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
