"Number","CurrentPath","ArchiveTarget","SourceExistsAfter","TargetExistsAfter","NonArchiveOldPathHitCount","AllOldPathHitCount","ArchiveTargetHitCount","NonArchiveOldPathHits"
"629","docs/v7_224a_autopilot_rule_intake_hardening_gate.md","docs/archive/phases/v7/v7_224a_autopilot_rule_intake_hardening_gate.md","False","True","0","9","8",""
"630","docs/v7_226_image_workflow_product_return_gate.md","docs/archive/phases/v7/v7_226_image_workflow_product_return_gate.md","False","True","0","15","8",""
"637","docs/v7_233_delivery_review_surface_package_gate.md","docs/archive/phases/v7/v7_233_delivery_review_surface_package_gate.md","False","True","0","9","8",""
"638","docs/v7_234_product_image_workflow_runbook_gate.md","docs/archive/phases/v7/v7_234_product_image_workflow_runbook_gate.md","False","True","0","9","8",""
"639","docs/v7_235_product_image_workflow_static_walkthrough_gate.md","docs/archive/phases/v7/v7_235_product_image_workflow_static_walkthrough_gate.md","False","True","0","9","8",""
"640","docs/v7_236_product_image_workflow_A5_readiness_review_gate.md","docs/archive/phases/v7/v7_236_product_image_workflow_A5_readiness_review_gate.md","False","True","0","18","8",""
"642","docs/v7_238_product_image_generation_authorization_draft_review_gate.md","docs/archive/phases/v7/v7_238_product_image_generation_authorization_draft_review_gate.md","False","True","0","18","8",""
"643","docs/v7_239_product_image_generation_plan_draft_gate.md","docs/archive/phases/v7/v7_239_product_image_generation_plan_draft_gate.md","False","True","0","14","8",""
"654","docs/v7_51h_read_only_bridge_adapter_validation_closeout.md","docs/archive/phases/v7/v7_51h_read_only_bridge_adapter_validation_closeout.md","False","True","0","40","8",""
"656","docs/v8_007_A4_8_mutation_live_run_docs_only.md","docs/archive/phases/v8/v8_007_A4_8_mutation_live_run_docs_only.md","False","True","0","11","10",""
"657","docs/v8_008_A4_8_controlled_failure_recovery_drill.md","docs/archive/phases/v8/v8_008_A4_8_controlled_failure_recovery_drill.md","False","True","0","12","11",""
"658","docs/v8_010_A4_8_comprehensive_validation_closeout.md","docs/archive/phases/v8/v8_010_A4_8_comprehensive_validation_closeout.md","False","True","0","11","10",""
"659","docs/v8_011_route_B_multi_product_expansion_selection_gate.md","docs/archive/phases/v8/v8_011_route_B_multi_product_expansion_selection_gate.md","False","True","0","11","10",""
"660","docs/v8_012_second_product_candidate_and_brief_gate.md","docs/archive/phases/v8/v8_012_second_product_candidate_and_brief_gate.md","False","True","0","9","8",""
"661","docs/v8_013_second_product_prompt_package_draft_gate.md","docs/archive/phases/v8/v8_013_second_product_prompt_package_draft_gate.md","False","True","0","9","8",""
"662","docs/v8_014_second_product_prompt_static_review_gate.md","docs/archive/phases/v8/v8_014_second_product_prompt_static_review_gate.md","False","True","0","9","8",""
"663","docs/v8_015_second_product_A5_authorization_decision_gate.md","docs/archive/phases/v8/v8_015_second_product_A5_authorization_decision_gate.md","False","True","0","9","8",""
"664","docs/v8_017_second_product_failed_trial_review_or_prompt_fix_decision_gate.md","docs/archive/phases/v8/v8_017_second_product_failed_trial_review_or_prompt_fix_decision_gate.md","False","True","0","9","8",""
"665","docs/v8_018_second_product_prompt_or_runner_static_fix_gate.md","docs/archive/phases/v8/v8_018_second_product_prompt_or_runner_static_fix_gate.md","False","True","0","9","8",""
"666","docs/v8_019_second_product_second_trial_authorization_decision_gate.md","docs/archive/phases/v8/v8_019_second_product_second_trial_authorization_decision_gate.md","False","True","0","9","8",""
