"path","previous_path","archive_target","lifecycle_status","reference_class","current_path_exists","archive_target_exists","validator_blocked","scan_source","last_scanned_at"
"docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md","docs/244_v6_8_plugin_dashboard_plan.md","docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md","docs/v10_001_closeout_and_project_route_reset_gate.md","docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md","docs/v10_002_next_project_route_selection_gate.md","docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_004_third_product_brief_gate.md","docs/v10_004_third_product_brief_gate.md","docs/archive/phases/v10/v10_004_third_product_brief_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md","docs/v10_005_third_product_prompt_package_draft_gate.md","docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md","docs/v10_006_third_product_prompt_package_static_review_gate.md","docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md","docs/v10_007_third_product_A5_authorization_decision_gate.md","docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md","docs/v10_008_remote_sync_and_status_surface_correction_gate.md","docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","docs/v10_017_third_product_route_closeout_gate.md","docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
