"path","archive_target","doc_type","lifecycle_status","reference_class","current_path_exists","archive_target_exists","source_refs","scripts_refs","tests_refs","human_navigation_refs","validator_blocked","last_scanned_at","scan_source"
"docs/v8_035_route_B_second_product_accepted_candidate_evidence_package.md","docs/archive/phases/v8/v8_035_route_B_second_product_accepted_candidate_evidence_package.md","stage_record","archived","agent_board_plus_docs","False","True","docs\commercial_delivery_review_plan_multi_color_mesh_sports_visor_v8_033.md; docs\delivery_readiness_package_multi_color_mesh_sports_visor_v8_033.md","","","","false","2026-05-19","C1am agent-board-plus-docs 05 live exact move/rewrite execution"
"docs/v9_012_real_retouch_execution_authorization_decision_gate.md","docs/archive/phases/v9/v9_012_real_retouch_execution_authorization_decision_gate.md","stage_record","archived","agent_board_plus_docs","False","True","","","","","false","2026-05-19","C1am agent-board-plus-docs 05 live exact move/rewrite execution"
"docs/v9_018_sports_visor_commercial_delivery_review_execution_decision_gate.md","docs/archive/phases/v9/v9_018_sports_visor_commercial_delivery_review_execution_decision_gate.md","stage_record","archived","agent_board_plus_docs","False","True","docs\v9_018_sports_visor_commercial_delivery_review_execution_decision_gate.md","","","","false","2026-05-19","C1am agent-board-plus-docs 05 live exact move/rewrite execution"
"docs/v9_020_sports_visor_commercial_delivery_review_result_decision_gate.md","docs/archive/phases/v9/v9_020_sports_visor_commercial_delivery_review_result_decision_gate.md","stage_record","archived","agent_board_plus_docs","False","True","docs\final_retouch_action_package_multi_color_mesh_sports_visor_v8_033.md","","","","false","2026-05-19","C1am agent-board-plus-docs 05 live exact move/rewrite execution"
"docs/v9_delivery_readiness_layer_route_selection_gate.md","docs/archive/phases/v9/v9_delivery_readiness_layer_route_selection_gate.md","stage_record","archived","agent_board_plus_docs","False","True","docs\v14_108_three_month_visual_control_layer_goal_alignment_gate.md","","","","false","2026-05-19","C1am agent-board-plus-docs 05 live exact move/rewrite execution"
