"path","archive_target","doc_type","lifecycle_status","reference_class","current_path_exists","archive_target_exists","source_refs","scripts_refs","tests_refs","human_navigation_refs","validator_blocked","last_scanned_at","scan_source"
"docs/v8_020_second_product_second_trial_authorization_gate.md","docs/archive/phases/v8/v8_020_second_product_second_trial_authorization_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_022_human_review_of_second_product_second_real_output.md","docs/archive/phases/v8/v8_022_human_review_of_second_product_second_real_output.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_023_second_product_prompt_revision_plan_from_first_real_output.md","docs/archive/phases/v8/v8_023_second_product_prompt_revision_plan_from_first_real_output.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_025_second_product_next_minimal_generation_authorization_decision_gate.md","docs/archive/phases/v8/v8_025_second_product_next_minimal_generation_authorization_decision_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_026_second_product_prompt_v2_generation_authorization_gate.md","docs/archive/phases/v8/v8_026_second_product_prompt_v2_generation_authorization_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_028_second_product_prompt_v2_failed_trial_review_or_output_persistence_gate.md","docs/archive/phases/v8/v8_028_second_product_prompt_v2_failed_trial_review_or_output_persistence_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_029_runner_output_persistence_static_review_and_fix_gate.md","docs/archive/phases/v8/v8_029_runner_output_persistence_static_review_and_fix_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_030_runner_output_persistence_guard_static_code_fix_gate.md","docs/archive/phases/v8/v8_030_runner_output_persistence_guard_static_code_fix_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_031_second_product_retry_after_persistence_fix_decision_gate.md","docs/archive/phases/v8/v8_031_second_product_retry_after_persistence_fix_decision_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_034_human_review_of_second_product_post_persistence_fix_output.md","docs/archive/phases/v8/v8_034_human_review_of_second_product_post_persistence_fix_output.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_036_route_B_multi_product_expansion_closeout.md","docs/archive/phases/v8/v8_036_route_B_multi_product_expansion_closeout.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_037_v8_product_loop_closeout_or_next_route_selection_gate.md","docs/archive/phases/v8/v8_037_v8_product_loop_closeout_or_next_route_selection_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_038_v8_product_loop_final_closeout.md","docs/archive/phases/v8/v8_038_v8_product_loop_final_closeout.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v8_product_loop_final_closeout.md","docs/archive/phases/v8/v8_product_loop_final_closeout.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v9_001_delivery_readiness_scope_and_asset_selection_gate.md","docs/archive/phases/v9/v9_001_delivery_readiness_scope_and_asset_selection_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v9_004_delivery_readiness_review_or_closeout_decision_gate.md","docs/archive/phases/v9/v9_004_delivery_readiness_review_or_closeout_decision_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v9_005_commercial_delivery_review_planning_gate.md","docs/archive/phases/v9/v9_005_commercial_delivery_review_planning_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v9_006_commercial_delivery_review_execution_decision_gate.md","docs/archive/phases/v9/v9_006_commercial_delivery_review_execution_decision_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v9_007_commercial_delivery_review_docs_only_execution_gate.md","docs/archive/phases/v9/v9_007_commercial_delivery_review_docs_only_execution_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
"docs/v9_008_commercial_delivery_review_result_decision_gate.md","docs/archive/phases/v9/v9_008_commercial_delivery_review_result_decision_gate.md","phase_record_or_legacy_doc","archived","agent_board_only","False","True",".agent_board/CHECKPOINT.md","","","","False","2026-05-19T03:10:20+08:00","C1am agent-board-only-04 exact move/rewrite execution"
